Sample.Name	Description	Laboratory.Identifier	Tube.Plate.Barcode	Calibration.Sample	Input.Control	Condition
4565_Hip	4565_Hip	202212170311_BT-1	202212170311_BT-1	No	No	CTR1
4566_Cor	4566_Cor	202212170311_BT-10	202212170311_BT-10	No	No	CTR2
4571_Cor	4571_Cor	202212170311_BT-11	202212170311_BT-11	No	No	CTR2
4572_Cor	4572_Cor	202212170311_BT-12	202212170311_BT-12	No	No	CTR2
4562_KI_Cor	4562_KI_Cor	202212170311_BT-13	202212170311_BT-13	No	No	EXP2
4563_KI_Cor	4563_KI_Cor	202212170311_BT-14	202212170311_BT-14	No	No	EXP2
4564_KI_Cor	4564_KI_Cor	202212170311_BT-15	202212170311_BT-15	No	No	EXP2
4573_KI_Cor	4573_KI_Cor	202212170311_BT-16	202212170311_BT-16	No	No	EXP2
4566_Hip	4566_Hip	202212170311_BT-2	202212170311_BT-2	No	No	CTR1
4571_Hip	4571_Hip	202212170311_BT-3	202212170311_BT-3	No	No	CTR1
4572_Hip	4572_Hip	202212170311_BT-4	202212170311_BT-4	No	No	CTR1
4562_KI_Hip	4562_KI_Hip	202212170311_BT-5	202212170311_BT-5	No	No	EXP1
4563_KI_Hip	4563_KI_Hip	202212170311_BT-6	202212170311_BT-6	No	No	EXP1
4564_KI_Hip	4564_KI_Hip	202212170311_BT-7	202212170311_BT-7	No	No	EXP1
4573_KI_Hip	4573_KI_Hip	202212170311_BT-8	202212170311_BT-8	No	No	EXP1
4565_Cor	4565_Cor	202212170311_BT-9	202212170311_BT-9	No	No	CTR2
