4565_Hip	4566_Cor	4571_Cor	4572_Cor	4562_KI_Cor	4563_KI_Cor	4564_KI_Cor	4573_KI_Cor	4566_Hip	4571_Hip	4572_Hip	4562_KI_Hip	4563_KI_Hip	4564_KI_Hip	4573_KI_Hip	4565_Cor	Transcript
20	16	14	10	14	38	13	18	23	17	26	18	29	26	28	17	ENSMUSG00000000001.5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSMUSG00000000003.16
8	0	0	4	0	0	0	3	2	1	2	3	1	1	0	2	ENSMUSG00000000028.16
2	0	0	0	3	0	1	1	1	8	1	1	0	2	0	0	ENSMUSG00000000031.19
1	1	1	4	0	2	1	0	0	5	2	3	2	3	1	2	ENSMUSG00000000037.18
3	5	1	5	0	2	3	0	1	0	1	1	0	0	3	5	ENSMUSG00000000049.12
22	29	14	20	14	28	23	17	22	17	27	47	55	24	29	16	ENSMUSG00000000056.8
107	105	148	102	89	164	163	153	71	80	39	70	70	84	91	173	ENSMUSG00000000058.7
121	194	150	186	149	209	181	109	106	84	98	122	144	127	118	165	ENSMUSG00000000078.8
143	141	126	94	65	154	145	138	112	102	83	94	100	149	115	193	ENSMUSG00000000085.17
878	891	889	779	848	1288	1302	1070	866	824	699	930	764	880	984	1225	ENSMUSG00000000088.8
4	4	0	2	1	6	5	2	7	6	5	7	6	2	5	3	ENSMUSG00000000093.7
0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	ENSMUSG00000000094.13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSMUSG00000000103.13
6	4	5	4	4	6	9	8	11	14	8	6	4	23	9	14	ENSMUSG00000000120.7
7	7	3	2	5	6	5	7	5	10	1	14	15	5	12	10	ENSMUSG00000000125.6
34	47	57	39	43	61	63	54	35	34	15	20	25	25	33	65	ENSMUSG00000000126.12
84	59	47	49	35	80	47	34	56	68	63	87	99	85	77	60	ENSMUSG00000000127.16
50	54	31	53	40	84	61	58	57	61	66	58	56	60	85	55	ENSMUSG00000000131.16
77	74	60	82	43	116	115	68	70	80	30	83	65	96	59	98	ENSMUSG00000000134.18
15	14	16	10	21	22	11	4	14	15	13	16	16	5	16	13	ENSMUSG00000000142.16
5	9	5	5	3	7	5	7	5	6	6	11	5	11	6	11	ENSMUSG00000000148.18
54	52	33	35	23	70	67	48	70	47	29	68	47	58	41	66	ENSMUSG00000000149.11
1	3	1	0	3	0	2	0	0	1	2	0	0	2	1	4	ENSMUSG00000000154.17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSMUSG00000000157.17
0	0	1	0	0	2	0	2	0	0	2	0	0	0	0	1	ENSMUSG00000000159.17
2	2	5	3	2	6	7	5	9	7	2	10	3	8	7	5	ENSMUSG00000000167.15
199	137	145	126	119	209	201	169	212	200	163	216	162	228	232	176	ENSMUSG00000000168.11
76	49	22	38	66	87	52	48	77	37	67	74	51	72	72	36	ENSMUSG00000000171.6
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSMUSG00000000182.10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSMUSG00000000183.7
962	761	710	618	490	1057	927	599	1270	1172	833	1189	1113	1374	957	903	ENSMUSG00000000184.13
155	133	106	113	66	119	149	107	119	130	89	121	89	136	91	168	ENSMUSG00000000194.14
63	75	83	70	77	116	71	50	79	81	85	102	94	85	113	54	ENSMUSG00000000197.9
165	291	208	206	155	323	374	274	204	200	133	203	131	187	198	328	ENSMUSG00000000202.10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENSMUSG00000000204.17
2	7	5	10	6	29	16	21	5	3	4	8	1	9	5	17	ENSMUSG00000000214.12
0	0	0	0	2	0	0	0	0	1	1	0	1	4	0	0	ENSMUSG00000000215.12
1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	ENSMUSG00000000216.9
110	117	161	152	76	178	237	164	149	116	80	146	103	133	141	220	ENSMUSG00000000223.14
